NBA Stats 2021/22: All Player Statistics in one Page,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RANK,FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%Minutes PercentagePercentage of team minutes used by a player while he was on the floor,"USG%Usage RateUsage rate, a.k.a., usage percentage is an estimate of the percentage of team plays used by a player while he was on the floor",TO%Turnover RateA metric that estimates the number of turnovers a player commits per 100 possessions,FTA,FT%,2PA,2P%,3PA,3P%,"eFG%Effective Shooting PercentageWith eFG%, three-point shots made are worth 50% more than two-point shots made. eFG% Formula=(FGM+ (0.5 x 3PM))/FGA","TS%True Shooting PercentageTrue shooting percentage is a measure of shooting efficiency that takes into account field goals, 3-point field goals, and free throws.",PPGPointsPoints per game.,RPGReboundsRebounds per game.,TRB%Total Rebound PercentageTotal rebound percentage is estimated percentage of available rebounds grabbed by the player while the player is on the court.,APGAssistsAssists per game.,AST%Assist PercentageAssist percentage is an estimated percentage of teammate field goals a player assisted while the player is on the court,SPGStealsSteals per game.,BPGBlocksBlocks per game.,TOPGTurnoversTurnovers per game.,"VIVersatility IndexVersatility index is a metric that measures a player’s ability to produce in points, assists, and rebounds. The average player will score around a five on the index, while top players score above 10",ORTGOffensive RatingIndividual offensive rating is the number of points produced by a player per 100 total individual possessions.,DRTGDefensive RatingIndividual defensive rating estimates how many points the player allowed per 100 possessions he individually faced while staying on the court.
,Thanasis Antetokounmpo,Mil,F,29.49,27,12.1,25.3,14.2,15.7,24,0.625,70,0.514,11,0.091,0.463,0.491,3.3,2.9,12.3,0.7,8,0.48,0.22,0.63,6.2,104.6,93.7
,Carmelo Anthony,Lal,F,37.62,41,27,56.3,19.5,6.5,96,0.802,184,0.478,247,0.389,0.538,0.572,13.2,4.1,8,1,5.4,0.76,0.78,0.8,5.6,112.7,105.6
,Cole Anthony,Orl,G,21.66,27,34,70.9,27.1,12.7,114,0.86,244,0.455,207,0.348,0.486,0.535,19.9,6.1,9.5,5.7,29.4,0.89,0.22,2.7,10.4,105.7,107.6
,OG Anunoby,Tor,F,24.49,23,36,75,22.5,8.2,73,0.808,201,0.502,168,0.363,0.522,0.553,19.3,5.1,7.6,2.3,10.2,1.61,0.39,1.57,6.8,113.7,106.5
,Trevor Ariza,Lal,F,36.54,7,16.6,34.6,5.8,6.3,2,0.5,1,1,13,0.538,0.821,0.806,3.4,3.1,9.9,1,7.7,0.14,0.14,0.14,5.3,155.7,111.4
,D.J. Augustin,Hou,G,34.17,31,15,31.2,16.2,22.6,34,0.882,36,0.417,86,0.395,0.541,0.591,5.2,1.1,4.1,2.3,21.8,0.32,0,1.29,6.3,106.9,118.3
,Deni Avdija,Was,F,21.03,41,23,47.9,14.9,11.8,61,0.721,135,0.541,116,0.302,0.5,0.531,7.2,4.9,11.6,1.5,9,0.78,0.71,0.9,6.5,105.2,102.6
,Joel Ayayi,Was,G,21.86,7,2.9,6,13.2,0,0,0,5,0.2,1,0,0.167,0.167,0.3,0.4,8.1,0.6,25.4,0,0,0,5.7,,
,Deandre Ayton,Pho,C,23.47,26,30.7,64,20.5,11.6,78,0.705,294,0.643,7,0.143,0.633,0.65,16.8,10.9,18.6,1.5,7.8,0.73,0.85,1.69,8.5,123.4,98
,Udoka Azubuike,Uta,C-F,22.32,6,6.7,13.9,8.5,25.4,2,0.5,5,0.8,0,0,0.8,0.765,1.5,1.3,10.9,0,0,0.17,0.33,0.33,0,116.5,104.1
,Marvin Bagley III,Sac,F,22.83,23,20.9,43.6,18.2,7.8,40,0.75,122,0.5,50,0.22,0.451,0.488,8,7,17.6,0.6,4.3,0.3,0.26,0.7,6.2,107.9,107.4
,LaMelo Ball,Cha,G,20.39,35,31.8,66.3,27.9,14.6,102,0.873,327,0.459,256,0.379,0.507,0.542,19.4,7.3,12.1,7.6,36.2,1.66,0.43,3.06,12.9,110.6,105.4
,Lonzo Ball,Chi,G,24.21,33,35.1,73.1,17.1,16.8,25,0.76,119,0.42,246,0.423,0.564,0.573,13.1,5.5,8.6,5.1,19.9,1.91,0.91,2.3,8.2,109.9,103.9
,Mo Bamba,Orl,C,23.67,32,28.1,58.6,16.6,12.5,30,0.767,165,0.533,123,0.333,0.519,0.535,10.1,8.4,16,1.5,8.7,0.81,2.06,1.34,7.2,106.7,104
,Desmond Bane,Mem,G,23.55,42,29.9,62.3,22.8,9.2,57,0.877,306,0.507,293,0.427,0.572,0.589,17.5,4.5,7.9,2.4,12.4,1.05,0.48,1.5,7.7,114.4,104.4
,Dalano Banton,Tor,F,22.18,32,11.9,24.8,18,20.6,24,0.75,91,0.451,26,0.269,0.44,0.474,3.8,2.1,9.4,1.7,20.4,0.38,0.16,1.03,8,97.1,103.2
,Cat Barber,Atl,G,20,3,4.3,8.9,23,14.8,4,0,4,0,0,0,0,0,0,1,12.7,1,27.6,0,0,0.33,0,36.8,110.2
,Harrison Barnes,Sac,F,29.62,38,33.3,69.3,19.3,11.4,188,0.824,236,0.466,187,0.422,0.54,0.605,16.1,6.1,9.7,2.3,10.2,0.74,0.21,1.71,7.3,117.5,113.3
,Scottie Barnes,Tor,F,20.45,32,35.5,74,18.6,12.5,98,0.714,316,0.519,74,0.324,0.513,0.543,14.7,8,12.1,3.5,14.7,1.03,0.91,1.94,8.4,113.9,105.9
,RJ Barrett,Nyk,F-G,21.58,34,31.6,65.8,24.8,10.2,133,0.692,296,0.449,184,0.348,0.477,0.511,16.2,5.4,9.3,2.4,12.7,0.5,0.32,1.79,7.5,101.6,106.7
,Will Barton,Den,G,31.02,34,32.8,68.4,22,11.6,52,0.808,245,0.478,219,0.361,0.508,0.527,15.1,5,8.4,4.2,19.8,0.88,0.44,1.88,8.3,104.2,108.6
,Charles Bassey,Phi,C-F,21.21,18,8,16.6,15,14.6,11,0.727,33,0.727,3,0,0.667,0.686,3.1,3,20.8,0.3,6.5,0.22,0.83,0.39,7,133.5,88.8
,Paris Bass,Pho,F,26.37,2,3.7,7.7,51.7,22.5,2,1,4,0.5,2,0,0.333,0.436,3,2,28.3,0,0,0.5,0,1,0,,
,Keita Bates-Diop,San,F,25.97,32,16.8,35.1,14,15.1,36,0.667,109,0.578,27,0.296,0.551,0.573,5.4,4.1,12.7,0.6,4.9,0.5,0.34,0.84,5.6,107.5,106.7
,Nicolas Batum,Lac,G-F,33.08,23,25.5,53.2,12.6,11.9,12,0.5,31,0.774,112,0.393,0.629,0.627,8.1,4.6,9.4,1.6,8.9,1.04,0.74,0.87,6.1,114.8,103.8
,Kent Bazemore,Lal,G-F,32.54,24,17,35.4,12,7,13,0.769,47,0.319,54,0.333,0.416,0.44,3.9,2,6.2,0.9,6.7,0.83,0.25,0.33,4.5,95.5,100.7
,Darius Bazley,Okc,F-G,21.58,35,26.5,55.2,17.7,13.2,71,0.634,178,0.472,120,0.275,0.448,0.474,8.9,6.3,12.2,1.2,6.9,0.74,1.29,1.43,6.1,92.2,108
,Bradley Beal,Was,G,28.54,34,36,75,31.5,13.1,169,0.84,491,0.515,188,0.298,0.496,0.542,24,4.7,7.1,6.4,30.7,0.88,0.35,3.35,10,105.8,109.2
,Malik Beasley,Min,G,25.13,41,27.2,56.7,20.1,6.1,27,0.741,134,0.448,358,0.346,0.5,0.508,12.5,3.2,6.2,1.6,9,0.61,0.12,0.8,5.9,104.2,111.2
,Jordan Bell,Chi,F,27.01,1,2,4.2,0,,0,0,0,0,0,0,,,0,1,27.5,0,0,1,0,0,0,,
,DeAndre' Bembry,Bro,G-F,27.53,35,19.8,41.3,11.6,12.4,26,0.577,125,0.616,26,0.462,0.629,0.631,5.9,3.2,8.5,1.2,8.6,1.03,0.54,0.66,5.7,120,100.2
,Davis Bertans,Was,F,29.17,28,15.8,32.9,18.2,7.2,29,0.931,25,0.48,130,0.346,0.513,0.554,6.6,2,6.9,0.5,4.8,0.39,0.18,0.46,4.7,107.6,104.3
,Patrick Beverley,Min,G,33.5,28,26.5,55.2,15.5,12.7,51,0.725,107,0.533,111,0.324,0.509,0.539,9.3,4.5,8.9,5.1,27.4,1.11,0.89,1.25,9,120.1,102
,Saddiq Bey,Det,F,22.76,40,33.8,70.4,21,9,114,0.825,270,0.433,283,0.329,0.464,0.503,15.2,6.3,10,2.5,12.3,0.93,0.2,1.5,7.3,102.9,110.7
,Khem Birch,Tor,C,29.29,22,21.8,45.4,12.1,11.7,42,0.738,94,0.543,8,0,0.5,0.552,6,5.4,13.3,1.3,8,0.86,0.5,0.73,6.4,124.2,105.9
,Goga Bitadze,Ind,C-F,22.48,21,8.1,16.8,19.2,10.7,18,0.611,31,0.484,28,0.143,0.356,0.396,2.5,2.2,15,0.1,2.5,0.48,0.52,0.38,4,91.2,92.1
,Bismack Biyombo,Pho,C,29.37,4,16.3,34,14.2,9.3,8,0.625,16,0.688,0,0,0.688,0.692,6.8,5,16,1,8.6,0.75,1.75,0.5,7.9,142.9,95.2
,Nemanja Bjelica,Gol,F,33.68,40,15,31.2,20,16,48,0.667,107,0.533,103,0.379,0.55,0.569,6.6,3.9,14,1.5,14.9,0.6,0.33,1.1,9,107.4,94.2
,Eric Bledsoe,Lac,G,32.09,42,26.6,55.5,20,18.4,90,0.778,248,0.484,128,0.313,0.479,0.517,10.2,3.5,7,4.2,23.5,1.36,0.38,2.24,8,99.5,104
,Keljin Blevins,Por,G,26.14,3,4.7,9.8,18.5,33.3,0,0,1,0,3,0.667,0.75,0.75,2,0.3,3.9,0.3,10.6,0,0,0.67,4.8,94.3,122.5
,Bojan Bogdanovic,Uta,F,32.74,40,30.5,63.5,22.8,10.7,147,0.864,255,0.557,256,0.41,0.586,0.631,18.2,4.2,7.4,1.6,8,0.48,0.03,1.73,6.5,119.6,108.1
,Bogdan Bogdanovic,Atl,G,29.4,26,28.8,60,18.6,7.8,31,0.742,122,0.484,158,0.367,0.521,0.536,12.1,3.7,7,2.5,12.5,0.73,0.19,0.96,6.7,108.9,111.1
,Bol Bol,Den,C-F,22.16,13,6.2,12.9,17.8,12.4,3,0.667,23,0.609,4,0.25,0.574,0.583,2.5,1.5,13.7,0.4,9.6,0.08,0.15,0.31,7.4,109.4,107
,Leandro Bolmaro,Min,F,21.34,23,8,16.7,10.9,25,9,0.889,20,0.35,12,0.167,0.313,0.389,1.2,1.5,10,0.5,7.6,0.22,0,0.52,4.8,86.6,102.9
,Isaac Bonga,Tor,G,22.18,12,5.3,11,11.9,11.3,6,0.667,9,0.222,4,0.25,0.269,0.352,0.9,0.6,6,0.3,6,0.58,0.17,0.17,4.1,88.8,95
,Devin Booker,Pho,G,25.2,33,32.8,68.4,31.2,11.2,155,0.871,417,0.453,212,0.406,0.506,0.553,23.4,5.4,8.6,4.4,21.6,0.97,0.3,2.67,10,107.6,101.1
,Brandon Boston Jr.,Lac,G,20.12,25,15.8,32.9,22.2,9,40,0.85,106,0.406,58,0.276,0.409,0.463,6.7,2.2,7.3,0.8,7.3,0.64,0.24,0.72,5.8,91.8,106.1
,Chris Boucher,Tor,F-C,29,36,18.3,38,20.2,8,84,0.75,149,0.584,101,0.228,0.486,0.533,8.5,5.5,16.4,0.4,3,0.58,0.97,0.69,5.8,114.5,101.5
,James Bouknight,Cha,G,21.32,18,8.2,17,22.3,7.8,10,0.8,39,0.308,28,0.393,0.425,0.455,3.6,1.5,9.7,0.8,13.1,0.06,0,0.33,7.9,103.3,112.5
,Avery Bradley,Lal,G,31.13,33,23.8,49.5,12.1,7.2,7,1,86,0.477,116,0.397,0.545,0.553,6.9,2.5,5.6,0.8,4.5,0.94,0.24,0.48,4,108.9,106.9
,Tony Bradley,Chi,C-F,24.01,26,12.4,25.8,13.6,17,11,0.727,78,0.59,0,0,0.59,0.604,3.8,4.5,19.9,0.5,6,0.19,0.65,0.65,6.6,121.2,98.9
,Ignas Brazdeikis,Orl,F,23.01,16,9,18.7,14.9,10.1,6,0.833,20,0.4,22,0.182,0.333,0.37,2.1,1.4,8.2,0.5,8.1,0.25,0.06,0.31,5.1,84.2,105.3
,Miles Bridges,Cha,F,23.81,39,35.9,74.8,22.3,9.3,151,0.755,373,0.574,230,0.317,0.536,0.568,19.5,7.3,10.7,3.6,15,1.15,0.82,1.77,8.9,113.5,109.9
,Mikal Bridges,Pho,F,25.37,40,34.1,71.1,13.8,7.6,47,0.851,234,0.594,149,0.396,0.594,0.613,12.4,3.9,6,1.8,7.1,1.28,0.45,0.83,5.2,120.9,104.5
,Oshae Brissett,Ind,F-G,23.57,30,18.3,38.2,15.3,10.4,28,0.571,86,0.5,74,0.378,0.531,0.54,6.2,3.8,11.5,0.8,6,0.53,0.33,0.67,5.8,110.3,106.4
,Malcolm Brogdon,Ind,G,29.09,26,34.3,71.4,24.5,11.6,117,0.855,242,0.529,148,0.311,0.505,0.559,19,5.3,8.6,6.1,28,0.88,0.42,2.23,9.9,114.9,108.6
,Armoni Brooks,Hou,G,23.61,33,18.2,37.8,17.6,7.7,18,0.889,35,0.629,186,0.317,0.5,0.518,7.2,2,5.9,1.4,11.8,0.61,0.21,0.58,6,105.5,110.7
,Dillon Brooks,Mem,G-F,25.97,21,27.9,58.2,29,9.1,72,0.889,239,0.469,101,0.327,0.475,0.521,18.4,3.3,6.2,2.7,15.4,1.29,0.19,1.76,7.8,105.9,101.2
,Chaundee Brown Jr.,Lal,G,23.11,2,10.3,21.5,16.6,12.5,0,0,4,0.25,3,0,0.143,0.143,1,1,5.1,0,0,0,0,0.5,0,27.1,117.3
,Charlie Brown Jr.,Dal,G,23.94,3,5.1,10.7,14.5,0,0,0,2,0.5,3,0,0.2,0.2,0.7,0.3,3.6,0.3,8.7,0.67,0.33,0,3.1,55,91.4
,Chaundee Brown Jr.,Atl,G,23.11,3,27.7,57.7,14.5,0,6,0.833,10,0.3,15,0.4,0.48,0.525,9.7,4.7,9.1,1.3,6.5,0.67,0,0,5.6,117.9,107.9
,Charlie Brown Jr.,Phi,G,23.94,2,17.3,36,10.8,24,3,0.667,2,0.5,3,0,0.2,0.316,2,3.5,11.1,0.5,3.7,2,0.5,1,3.5,64.6,101
,Greg Brown III,Por,F,20.37,15,4.9,10.1,22.1,13.6,11,0.364,22,0.455,5,0,0.37,0.377,1.6,1.3,15.1,0.3,10.2,0.13,0.27,0.33,7,84.1,102.3
,Troy Brown Jr.,Chi,G-F,22.46,27,14.7,30.5,13.4,6.6,16,0.75,61,0.492,45,0.311,0.481,0.504,4.2,2.8,10.5,1.3,11.4,0.7,0.07,0.3,6.8,112.3,105
,Bruce Brown,Bro,G-F,25.41,30,22.5,46.9,13.8,9.7,24,0.75,154,0.519,30,0.333,0.516,0.535,6.9,4.5,10.6,1.3,7.8,1.23,0.5,0.7,6.1,111.3,98
,Jaylen Brown,Bos,G-F,25.22,27,34.8,72.4,30.9,12.6,133,0.767,315,0.517,204,0.368,0.531,0.565,24.2,6.6,10.2,3,15.9,1.11,0.52,3.07,9,104.8,102.4
,Moses Brown,Dal,C,22.25,24,6.8,14.1,22.4,17.3,43,0.628,48,0.563,0,0,0.563,0.605,3.4,2.4,19.2,0,0,0.13,0.33,0.58,0,107.5,88.8
,Sterling Brown,Dal,G-F,26.92,32,15,31.3,13.3,14,10,0.9,44,0.5,74,0.351,0.517,0.535,4.1,3.7,13.4,0.9,8.5,0.38,0.16,0.63,6.4,105.5,100.7
,Jalen Brunson,Dal,G,25.37,39,30.7,64,22.9,10.6,109,0.771,379,0.551,122,0.336,0.54,0.569,16,3.7,6.5,5.6,30.2,0.85,0.05,1.67,9,116.5,105.4
,Shaq Buchanan,Mem,G,20,2,4.9,10.2,25.5,33.3,0,0,2,0.5,2,0,0.25,0.25,1,1,10.8,1,26.3,0.5,0,1,8.2,60.4,99
,Reggie Bullock,Dal,G-F,30.83,33,24.3,50.6,12.8,7.9,17,0.765,52,0.558,151,0.318,0.498,0.511,6.5,2.9,6.5,1.1,6.5,0.42,0.15,0.55,4.5,101.5,106.2
,Trey Burke,Dal,G,29.17,19,13.6,28.3,26.3,10.6,17,0.941,79,0.494,49,0.327,0.492,0.524,7.5,1.2,4.7,2.1,26,0.42,0,0.84,7.8,104.9,104.2
,Alec Burks,Nyk,G,30.48,40,27.6,57.4,18.7,8,126,0.817,183,0.377,189,0.407,0.496,0.552,11.8,4.2,8.3,2.4,13.4,1.3,0.28,0.93,7.1,115.1,103.4
,Jared Butler,Uta,G,21.38,20,5.7,11.8,27.3,22.2,9,0.667,22,0.364,30,0.333,0.442,0.465,2.6,0.8,7.2,0.7,17.5,0.2,0.3,0.8,8,83.5,94.4
,Jimmy Butler,Mia,F,32.33,23,33.8,70.3,27.7,9.2,186,0.871,316,0.535,44,0.25,0.515,0.603,23.2,5.9,9.7,5.3,27.1,1.96,0.39,1.96,10.6,126.5,105.8
,Devontae Cacok,San,F,25.26,6,9,18.8,15.6,5,0,0,19,0.684,0,0,0.684,0.684,4.3,3.3,19.1,0.3,5.6,0.67,0.83,0.17,7.2,136.1,91.6
,Kentavious Caldwell-Pope,Was,G,28.9,38,29.7,61.9,17.6,11.1,51,0.882,168,0.458,208,0.389,0.528,0.555,11.6,3.6,6.5,1.7,8.3,1.16,0.45,1.32,5.6,104.4,109.1
,Facundo Campazzo,Den,G,30.81,38,22.1,46,15,16.7,54,0.815,77,0.468,134,0.328,0.483,0.528,6.5,2.2,5.5,4,24.9,1.11,0.5,1.24,7,110.3,102.1
,Vlatko Cancar,Den,F,24.76,14,10.9,22.7,15.3,15.3,12,0.75,27,0.556,12,0.583,0.654,0.678,4.3,1.6,8.3,0.9,12.5,0.14,0.21,0.57,6.7,123.2,105.3
,Clint Capela,Atl,C,27.66,36,29.7,61.8,16.2,5.3,97,0.464,332,0.572,1,0,0.571,0.566,11.8,13.1,23.8,1.4,7.2,0.81,1.5,0.58,8.1,128.7,103.9
,Vernon Carey Jr.,Cha,F-C,20.88,2,6,12.4,26.4,13.4,1,1,6,0.5,0,0,0.5,0.543,3.5,1.5,13.3,0,0,0.5,0,0.5,0,105.3,107.9
,Wendell Carter Jr.,Orl,C-F,22.74,37,29.3,61.1,19.1,12.7,101,0.723,234,0.585,139,0.331,0.552,0.581,13.1,10.3,18.7,2.7,15.3,0.7,0.65,1.65,9.8,114.7,102.3
,Jevon Carter,Bro,G,26.33,31,11.6,24.1,13.8,12.2,4,0.75,22,0.227,77,0.299,0.399,0.407,2.6,1.5,6.9,1,10.8,0.35,0.26,0.45,5.4,87.2,104.2
,Alex Caruso,Chi,G,27.87,26,28,58.4,13.6,17.3,53,0.83,86,0.523,77,0.364,0.534,0.585,8.4,3.7,7.3,4,18.5,2.04,0.35,1.5,7.1,117.7,101.2
,Willie Cauley-Stein,Dal,C,28.4,18,9.8,20.5,10.8,16.3,2,0.5,33,0.455,2,0.5,0.471,0.474,1.9,2.1,11.7,0.5,7,0.33,0.17,0.39,5.1,101.9,99.7
,Ahmad Caver,Ind,G,20,1,0.9,1.9,48.4,0,0,0,1,1,0,0,1,1,2,0,0,0,0,0,0,0,0,,
,Justin Champagnie,Tor,G-F,20.54,21,7.7,16.1,13.9,3.8,9,1,32,0.594,15,0.333,0.564,0.608,3,2,13.7,0.2,3.6,0.19,0.14,0.1,5.5,141.1,103
,Chris Chiozza,Gol,G,26.14,19,11.1,23.1,14.1,24.8,1,1,19,0.158,32,0.344,0.382,0.389,2.1,1.3,6.2,1.7,20.4,0.42,0,0.89,6,87.3,98.7
,Marquese Chriss,Dal,F,24.53,10,11.9,24.7,21.7,15.6,8,0.625,35,0.629,10,0.4,0.622,0.629,6.1,4.1,18.9,0.2,2.8,0.2,0.4,0.9,5.7,107.6,79.6
,Josh Christopher,Hou,G,20.1,34,16,33.3,20.9,19.4,50,0.8,119,0.521,75,0.347,0.521,0.56,7.1,2,6.7,1.7,17.1,0.85,0.09,1.53,7.2,101.6,112.1
,Brandon Clarke,Mem,F,25.31,29,17.6,36.7,18.1,6.8,52,0.654,169,0.692,15,0.133,0.652,0.662,9.4,5.2,15.6,1.4,12.2,0.34,1.03,0.52,9.3,136.6,102.4
,Gary Clark,Nor,F,27.16,10,11.7,24.3,11.3,9.8,4,0.5,3,0.333,23,0.522,0.731,0.72,4,2.6,12.1,0.4,5,0.3,0.2,0.3,5.5,133.8,114.2
,Jordan Clarkson,Uta,G,29.6,40,25.7,53.6,27.2,9.5,73,0.795,232,0.513,324,0.318,0.492,0.514,15.1,3.5,7.3,2.3,13.5,0.7,0.23,1.55,7.7,104.1,106
,Nic Claxton,Bro,F-C,22.74,20,22.1,46.1,15.1,9.7,39,0.615,122,0.656,0,0,0.656,0.661,9.2,5.5,13.1,1,6.4,0.6,1.2,0.75,6.7,130.3,99.9
,Amir Coffey,Lac,G-F,24.57,29,18.4,38.4,12.7,6.5,45,0.867,47,0.553,78,0.385,0.568,0.625,6.2,2.8,7.8,1.3,10.4,0.41,0.21,0.34,6.1,128.4,105.1
,John Collins,Atl,F-C,24.31,34,32.6,68,20,7.5,131,0.794,309,0.579,103,0.427,0.595,0.632,17.5,7.9,13.1,2,9.3,0.68,1.15,1.12,8,127.6,106.5
,Darren Collison,Lal,G,34.39,3,12.4,25.8,9.2,12.5,0,0,4,0.5,3,0,0.286,0.286,1.3,1.3,5.6,0.7,6.7,0.33,0,0.33,3.4,64.3,100.7
,Mike Conley,Uta,G,34.26,36,28.5,59.3,20,12,71,0.817,182,0.505,205,0.424,0.575,0.601,14,3,5.8,5.4,27.8,1.11,0.28,1.58,8.6,125,106.7
,Pat Connaughton,Mil,G,29.02,40,28.1,58.6,14.2,7.5,33,0.788,93,0.667,238,0.395,0.613,0.625,10.8,4.6,8.6,1.4,6.9,0.98,0.33,0.7,5.9,122.7,107.2
,Tyler Cook,Chi,F,24.31,9,10.4,21.7,14.5,12.9,16,0.875,20,0.65,0,0,0.65,0.74,4.4,2.3,12.3,0.3,4.4,0.33,0.11,0.44,5.6,140.4,95.5
,Sharife Cooper,Atl,G,20.59,9,3.6,7.5,24.1,27.8,0,0,8,0.25,5,0.2,0.269,0.269,0.8,0.6,8.3,0.6,20.2,0,0,0.56,7.3,,
,Petr Cornelie,Den,F,26.47,13,2.9,6.1,24.3,19.3,4,0.75,7,0.571,8,0.125,0.367,0.418,1.1,1.1,20.4,0.2,11.3,0.08,0.08,0.31,8.6,,
,DeMarcus Cousins,Mil,C,31.42,17,16.9,35.1,22.5,10.6,38,0.816,70,0.6,48,0.271,0.521,0.572,9.1,5.8,17.9,1.1,9.6,0.94,0.47,0.94,9.2,115.4,89.5
,Robert Covington,Por,F,31.08,37,28.2,58.7,12.1,13.8,14,1,68,0.544,175,0.354,0.535,0.55,7.4,5.2,10.1,1.2,5.8,1.38,1.27,1.08,5.1,103.8,106.7
,Torrey Craig,Ind,F,31.07,36,16.7,34.8,14.5,12,29,0.828,88,0.648,75,0.32,0.571,0.597,5.8,3.4,11.4,1,8.9,0.39,0.28,0.67,6.5,119.9,104.2
,Jae Crowder,Pho,F,31.52,34,28.3,58.9,14.6,9.8,42,0.786,89,0.528,186,0.344,0.52,0.543,9.4,4.6,8.6,1.4,6.6,1.21,0.5,0.94,5.5,104.8,99.5
,Jarrett Culver,Mem,G-F,22.89,17,10.6,22,18.4,5.1,14,0.5,47,0.532,22,0.227,0.471,0.479,4.2,1.7,8.6,1.1,14.9,0.53,0.12,0.24,7.5,107.6,102.8
,Jarron Cumberland,Por,G,24.31,3,4.1,8.5,7.1,0,0,0,1,1,1,0,0.5,0.5,0.7,1,13.4,0.3,11.2,0,0,0,5.8,139.1,101.9
,Cade Cunningham,Det,G,20.3,31,32.4,67.4,25.8,19.5,65,0.846,245,0.441,214,0.322,0.461,0.49,15.4,5.7,9.5,5.3,28.3,1.32,0.61,3.81,9.6,91.6,105.4
